,District,Date,Operator,Lease/Facility Name,Lease/ID,API#,Drill Permit #,Well #,Field Name,County,Fire,H2S,Injuries,Deaths,Remarks
14,8,4/19/2018,"Foothills Texas, Inc.",Simms-Schilling,1799,201-31755,,48,Goose Creek,Harris,N,N,0,0,"During normal injection operations, the larken head was observed to be leaking at the seal of the production casing and tubing. Salt water and sand was found releasing and impacting the surrounding location."
15,3,3/18/2018,EOG Resources,Baker Deforest Unit,16046,177-32474,,12H,Eagleville (Eagle Ford -1),Gonzales,Y,N,0,0,"Unknown cause of fire, fire is emanating from wellhead from an unknown orifice. An automated pneumatic shutoff wing valve was successfully closed, isolating the well from production facility down stream. At least three (3) nearby families have been evacuated out of an abundance of caution and put up in hotels for the night, but there is no known immediate threat to the general public."
16,###,1/26/2018,EOG Resources,Cooper Unit,,255-35599,830285.0,2H,Eagleville (Eagle Ford- 2),Karnes,N,N,0,0,"EOG finished frac'ing and running tubing in hole when well ""kicked'. The packer gave way and pressure was received at the surface."
17,###,1/19/2018,"Southern Exploration, Inc.",Block 7,,009-73124,833718.0,1,Archer county regular,Archer,N,N,0,0,The well site geologist was on the shale shaker waiting to catch samples when the mud flow increased rapidly and started blowing oil and gas cut mud up through the rotary table about 40' up in the derrick. Rig personnel closed the blow out preventer after approximately 20 minutes.
18,9,12/1/2017,"South Oil, Inc.",Wilmeth B,19042,163-33832,,1,Pearsall (Buda Lime),Frio,N,N,0,0,"South Oil, Inc was testing the well when pressure had developed and the packing on the stuffing box failed, causing the release of gas and produced fluids sometime on the morning of 12/20/17. There were no injuries, however as a precaution the section of Hwy 85 nearest to the well was closed off."
19,1,12/18/2017,"Devon Energy Production Co, LP","Slay, C.W. (AW)",,439-37135,829994.0,18H,"Newark, East (Barnett Shale)",Tarrant,N,N,0,0,Devon Energy Reported an acid flowback to surface through a stuck/broke valve.
20,5,12/7/2017,"Occidental Permian, Ltd.",Anton-Irish Clearfork Unit,,,,,,Hale,N,Y,0,0,"At approximately 4:30 pm, the stripper rubbers failed on the BOP causing the uncontrolled release of CO2 and approximately 5 barrels of produced water. H2S monitors and personnel were set up in the area during the release"
21,08/8A,12/6/2017,IWR Operating,Panther Exploration,,157-33230,831853.0,1,Blue Ridge,Fort Bend,N,N,0,0,"Operator reported that they are experiencing well fluid control issues. The surface casing was successfully set and cement circulated to surface. However, while drilling to TD, operator encountered gas pocket and incurred a kick which has allowed well to begin blowing gas, oil, water, and drilling fluids."
22,3,9/7/2017,Hilcorp Energy Company,West Ranch (41-A/98-A Cons),386310,239-33653,,2119,West Ranch (41-A & 98-A Cons),Jackson,N,N,0,0,"A workover rig was on the well on 9/6/2017, the tubing was unseated and pulled from the permanent packer in the well and tubing was hung off of annular BOP stack, then shut-in overnight. Overnight, apparently the annular BOP rams failed and the tubing dropped, causing well fluids to flow to the surface. The blowout took place at approximately 0230 on Sept. 7, 2017. The well is in a CO2 injection field and CO2 with some water is believed to be the fluid that is spraying out. Less than one barrel of fluid is on the ground."
23,2,7/21/2017,NBL Permian LLC,Howard State 2-25-8,45383,389-33385,,1,Wolfbone (Trend Area),Reeves,N,N,0,0,"An uncontrolled well situation was not reported at the time, only a spill. Glenn Gainey inspected the well and it is currently spewing gas through a flange on the wellhead. Pressure at the wellhead is unknown. Some fluid has pooled on location. Boots and Coots is on location now with 400 bbl of 12.5 ppg mud. NBL has set up a safety corridor around the well. Total Safety is on location as well. Boots and coots plans to kill the well around 3:00 pm today."
24,8,7/13/2017,"Parsley Energy Operations, LLC",Paige,,383-39785,821002.0,12A-13A,Spraberry (Trend Area),Reagan,N,N,0,0,Workover rig was going in the hole with tubing and stacked out hard on bottom and bent tubing where the crew could not close the BOP. At that time the well started to blow oil and gas
25,7C,6/6/2017,Karbuhn Oil Company,Pogo Fee,17935,245-31735,,1,Herbert (h-3),Jefferson,N,Y,0,0,They had produced water leaking into the cellar and had what appeared to be communication between their casing strings. Sent notification to RRC inspector Carroll Mayfield to inspect the well. Mr. Mayfield noted that the well was leaking about 30-bbls of produced water an hour and a small amount of gas. Karbuhn had contracted Cudd Pressure Control to kill the well.
26,3,5/16/2017,Cummins & Walker Oil Co. Inc.,"Welder, M.S. Est.",172091,469-33366,,3,"Lonnie Glasscock (Oakville, LO.)",Victoria,N,N,0,0,During workover the wellhead and tubing were in poor codition and remedial work worsened the condition casusing a total loss of the wellhead.
27,2,4/20/2017,Hilcorp Energy Company,Baer-Franklin,,321-32403,821323.0,2,Bear Ranch (Tex-Miss Cons),Matagorda,N,N,0,0,Well finished drilling and during flow testing a loss of control occurred.
28,3,4/19/2017,Fengolio Oil Company,"Cone, Rachel Lease",30293,337-33232,,5,"Newark, East (Barnett Shale)",Montague,N,N,0,0,The Tubing broke at the well head during the inspection. Well began to flow
29,9,3/14/2017,Occidental Permian LTD.,Anton-Irish Clearfork Unit,,189-00165,304.0,65W,Anton-Irish,Hale,N,N,0,0,"an uncontrolled well from a workover that had produced water and water based drill mud going into a dry Playa lake. Well No. 65W lost control on March 14, 2017 at noon for about 24 hours when the nipple broke on the wellhead during a workover where they were pumping mud downhole. Well No. 65W is a CO2/Water injection well. They pumped 14 ppg mud to kill the well and then replaced the nipple. The well is under control now. They are preparing to replace the wellhead and run the packer and get an H-5 test. The amount of fluid lost was 5000 barrels (bbl.) including both water and mud. They had recovered at the time of the call 1590 bbls of the both water and drill mud and were still recovering."
30,8A,1/21/2017,Anadarko E&P Onshore LLC,Silvertip 76-17 P,,301-32904,815363.0,1H,Phantom (Wolfcamp),Loving,N,N,0,0,Well had an incident during facture stimulation.
31,8,1/3/2017,Le Norman Operating,War Admiral 8,,211-35556,821234.0,3H,Hemphill (Douglas),Hemphill,N,N,0,0,While drilling the well started receiving gas kicks
32,10,12/28/2016,"H-M Resource Management, Inc.",Anderson Lucrese,209012,481-34733,,8,Egypt (3800),Wharton,N,N,0,0,Operator attempting to plug well and pulled the packer lose when well came in.
33,3,12/6/2016,Gordy Oil Company,"Johnston, H.B.",,291-32899,820395.0,1,"Hardin, South (Wilcox 12700)",Liberty,N,N,4,0,Well was leaking gas. Injury occurred when metal plate blew off the top of the dry hole tree.
34,3,11/10/2016,"Forge Energy, LLC",Monument A28-6,,165-38419,817236.0,1H,"Tex-Mex, SE (Wichita Albany)",Gaines,N,N,0,0,During the 14th stage of a 21 stage frac the production casing moved up hole several feet at the same time the surface casing failed. The production casing and frac stack then fell over
35,8,11/8/2016,"Enwater Operating, LLC",Easy Jet,46873,389-34742,,1,Collie (Delaware),Reeves,N,Y,0,0,Increase in volume caused the uncontrolled release.
36,8,10/19/2016,Pearl Resources Operationg Co.,Garnet State,,371-39426,818111.0,4,Wolfbone (Trend Area),Pecos,N,Y,0,0,Unprepared to hit a heavy flow while drilling.
37,8,10/24/2016,Enervest Operating LLC,Childrens Home 2,,483-33092,265280.0,4H,Frye Ranch (consolidated),Wheeler,N,N,0,0,Well is being worked over and had wellhead removed when well kicked and blew out.
38,10,10/17/2016,Three Rivers,Ladybird SWD,,109-32953,815536.0,1,"Ford, West (Wolfcamp)",Culberson,N,Y,0,0,"There is already surface casing 13 3/8” @ 558’ & circ, they TD’d at 2775’ and was going to run intermediate 9 5/8” when the stripping rubber failed inside the casing shoe. The operator had an uncontrolled flow with H2S and also a spot 150’ north of the rig started flowing water with H2S also."
39,8,9/30/2016,Lamay Corporation,State Tract 117,58974,007-30101,,1,Bartell Pass (Frio M),Aransas,N,N,0,0,well leaking dry gas into the atmosphere. The leaking well was reported to the TGLO by a boater in Aransas Bay.
40,4,9/24/2016,Kinder Morgan Production Co LLC,Goldsmith-Landreth/San Andres unit,,135-43426,817824.0,201AW,Goldsmith,Ector,N,Y,0,0,"new drillwell going uncontrolled starting at 1 am on September 24, 2016. They had shut down W Scharbauer Street which is about 800’ north of the well. Kinder Morgan had Wild Well Control contacted and heading there."
41,8,9/20/2016,Cabot Oil & Gas Corporation,Weldon Shcorp-prickly pear unit,271065,163-33670,,,Indio Tanks (Pearsall),Frio,N,N,0,0,Producing well (no active work was being performed on well at time of discovery) developed uncontrolled leak of dry gas in KTH flange at slips.
42,1,7/13/2016,Lone Star NGL Mont Belvieu,Central Terminal Lease,12081,,,1,Salt dome storage,Chambers,N,N,0,0,Leaking salt dome.
43,3,7/6/2016,"Cross Timbers Energy, LLC",Penwell Unit,23007,135-01481,,2388W,Penwell,Ector,N,Y,0,0,uncontrolled gas release from an unknown source breaking out to the surface from the outside of the surface casing of the above well.
44,8,7/1/2016,"EOG Resources, Inc.","Kleberg, RJ TR Stillman",258933,261-31544,,505,Tordilla (Deep Cons.),Kenedy,N,N,0,0,"During plugging operations, while attempting to cut and pull with casing jacks the 7-5/8” intermediated casing from approximately 50’ below the surface casing shoe depth (2,516’), the weld between the pulling nipple and the casing broke and the well began to flow. The well was full with 9.5-ppg plugging mud for well control purposes. The well flowed mud, followed by produced water for approximately one hour, until the flowing pressure had decreased enough that the pulling tools could be laid down, and the casinghead and master valve could be bolted back onto the wellhead. The shut-in wellhead pressure was 50-psi and the well is now under control."
45,4,6/29/2016,"Enerquest Operating, LLC",Brysch,258318,255-00718,,1,Panna Maria (Edwards),Karnes,N,Y,0,0,"it appears that during one of Encana’s frac jobs the pump jack on the Brysch #1 locked up and casing pressure increased on the Brysch #1, causing significant increase of water production into tanks, ultimately compromising the stuffing box seals, and water is now leaking through the stuffing box into the air and onto the ground. Enerquest personnel are not able to bring the well under control. Encana has agreed to take over kill operations of the well and is currently moving equipment onto location to perform top-down bullhead kill operation with oil-based mud. Encana states no elevated H2S levels have been detected thus far. H-9 on file from Enerquest shows H2S concentration at 25,600 ppm at 500 mcf/day. Both 100 ppm and 500 ppm ROE do not contain a public area or a public road. At least one nearby house has been evacuated as a precautionary measure. County Sheriff is controlling roadway, no shutdown of any public roads yet."
46,###,6/26/2016,"Equistar Chemicals, LP","Equistar Chemicals, LP",10752,071-81605,,7,Barbers Hill (Storage Cavern),Chambers,Y,N,0,0,pressurized cavern storage well in which communication to the surface has been observed.
47,3,6/2/2016,XTO Energy Inc.,Cordona Lake Consolidated,20582,103-32391,,62W,Cordona Lake,Crane,N,N,0,0,"The top section of the wellhead fell off due to a faulty wellhead per XTO. CO2 is blowing up approximately 20’ into the air with some produced water being released. XTO has well control equipment in route via a third party well control company. H2S and lower explosive limit (LEL) monitors have been placed around the location. None has been detected. The location is under 24 hour supervision. Well control operations are to begin tomorrow morning. Well is located at or near Juan Cordona Lake shoreline, an intermittent or salt lake, which currently contains water."
48,8,5/3/2016,"Mesa Operating, LLC",Jimmy Marshall,,307-31187,813672.0,2,Lohn (Strawn 900),McCulloch,N,N,0,0,"Well blowing mud ~ 7 ft. above the rig floor, with mud around the well bore. They were pulling out of the hole preparing to RIH with casing. TD of the well is 994’. There is 450 of drill collars in the hole with a wiper rubber on the drill pipe. Southwest fluids from Abilene is on location with additional mud to kill the well. Well is located ~ 150’ north of CR 504. This is a single string completion. The cementers and casing are on location."
49,7C,4/6/2016,Apache Corporation,Magpie Unit,,301-32807,812057.0,,Phantom (Wolfcamp),Loving,N,N,0,0,"completed, frac'd, and was blowing the well down when it plugged up. They currently have a rig on well that had been working to unplug the well. The BOP's are shut and the well is blowing out through a connection that failed below the BOP's."
50,8,4/2/2016,Occidental Permian LTD,Gains Wasson Clearfork Unit,63524,165-00783,,6513W,Wasson 72,Gaines,N,N,0,0,"Truck hit an injection line, causing the tubing to split above the wellhead on the water injection well. The water blew above the top of the tubing until a rig was moved in."
51,8A,3/28/2016,Energy Transfer Company,Fields,57629,237-30616,,13,"Bryson, South (Strawn 1700)",Jack,N,N,0,0,. A joint of 2 3/8” tubing that was in the well shot up thru the derrick floor and landed approximately 15' from floor and stuck in to the ground. Rig crew hands were able to shut blind rams on Blow Out Preventer (BOP) with pipe wrenches to gain control of the well. Well was out of control for approximately 10 minutes. NO INJURIES were sustained by anyone.
52,9,3/5/2016,"Chisholm Operating, Inc.",Baugh,19163,413-00444,,,Baugh (Strawn),Schleicher,N,N,0,0,Heater treater pop-off valve did not reset making dump valves inoperable. Fluid began to run out of the top of the heater treater.
1,1,12/15/15,"Eagle Ford Oil Co., Inc.",D.G. Tiller,150807,055-34922,,,Salt Flat (Edwards),Caldwell,N,Y,0,0,Corrosion on a capp on the well caused the blowout.
2,8A,12/07/15,"Tabula Rasa Energy, LLC","Seminole, East (San Andres)",60717,,,,"Seminole, East (San Andres) Unit",Gaines,N,Y,0,0,CR 107 closed and 25 homes evacuated. Workover rig on location and CO2 release.
3,4,12/03/15,"Remora Operating, LLC",Exxon State,274742,131-36942,,1,"Loma Novia, NE. (Wilcox)",Duval,N,N,0,0,Closed US-59. Producing well started blowing out.
4,8A,12/03/15,Occidental Permian Ltd.,Igoe-Smith Operator Area,5947,079-30345,,83,Slaughter,Cochran,N,N,0,0,Well began to be uncontrolled and let off CO2. Well died down and leak has been fixed
5,8,10/20/15,Kinder Morgan Production Co LLC,Goldsmith-Landreth/San Andres/UT,17491,135-30186,,301 W,Goldsmith,Ector,N,N,0,0,CO2 pocket released while BOP was being installed.
6,8,09/30/15,"Anadarko E&P Offshore, LLC",Sievers Unit 2-29,,389-34945,808620.0,1H,Phantom (Wolfcamp),Reeves,N,Y,0,0,During drilling operations gas was encountered. They let the well die down. It happened two more times on the last time a crack formed in the ground surface and began leaking sour gas.
7,8,09/30/15,"Brigham Resources Operating, LLC",Black Stone,,371-39240,791989.0,2H,Hoefs T-K (Wolfcamp),Pecos,N,N,0,0,During frac stimulation intermediate casing ruptured and possibly the surface casing.
8,3,09/12/15,RIO O&G LLC,"Simms, E.F.",19740,291-02918,,2,"Liberty, South",Liberty,N,N,0,0,"Leaking well in sporting center parking lot in Liberty, TX"
9,1,09/02/15,Oilfield Cleantech Water Rec. LLC,Keystone Ranch -A-,5204,163-31545,,3A,Pearsall (Austin Chalk),Frio,N,N,0,0,Well leaking through pinhole. Caused a gas cloud. They were able to kill the well.
10,2,05/19/15,ENCANA OIL & GAS (USA) INC,Dromgoole B Unit,,255-34351,800481.0,8H,Eagleville (Eagle Ford - 2),Karnes,N,N,0,0,Well control issue occurred when running in the hole to tubing. Small trailer park nearby was evacuated
11,5,04/11/15,"Vantage Fort Worth Energy, LLC",LABC South (SA),,439-36981,785117.0,8H,Newark,Tarrant,N,N,0,0,Well developed a leak below the master valve during fracing operations of the first stage of frac.
12,8A,04/07/15,Occidental Permian LTD,Denver Unit,18910,165-33459,,6751WC,Wasson,Gaines,N,Y,0,0,Well had a valve break and blow off. Leaking sour CO2
13,2,03/11/15,"Marathon Oil EF, LLC",Oxford-White Unit,,255-32760,10311.0,1H,Eagleville (Eagle Ford -2),Karnes,N,N,0,0,Blowout while conducting fracing.
14,6,03/28/15,"Triple M. Saltwater Disposal , LP",Petro-Wax LLC,8628,183-89876,,1,East Texas,Gregg,N,N,0,0,"When pulling tubing and packer got stuck. The well began to flow while working packer, blowing oil out into vacuum truck."
15,8,03/02/15,Cimarex Energy Co.,Sawtooth 55-6 (wolfcamp),,389-34046,774660.0,1H,Phantom (Wolfcamp),Reeves,N,N,0,0,Gasket started leaking when they were about to stimulate for fracture.
16,8A,01/06/14,XTO Energy Inc.,Cornell Unit,,501-36527,800727.0,130,Wasson,Yoakum,N,N,0,0,Blowout occurred during the drilling of the surface hole.
17,8,12/16/14,"Panther Exploration, LLC",Wile E. Coyote State 40,,389-34360,788670.0,1H,Phantom (Wolfcamp),Reeves,N,N,0,0,During the flowback and after the frac stimulation the well blewout.
18,8,12/15/14,"Jagged Peak Energy, LLC",Eiland 8-33,,389-34388,790202.0,1H,Phantom (Wolfcamp),Reeves,N,N,0,0,Blowout of oil and frac water when operator drilled out of the fracture stimulation. BOP would not close
19,8A,12/04/14,"Juno Operating Company II, LLC",Clark Wood Ranch,,107-31946,794185.0,K170,Hoople (clear fork),Crosby,N,N,0,0,Jetted too much fluid out fo the pit and the wellhead cracked.
20,8,12/10/14,"Bringham Resources Operating, LLC",Neal Lethco 16,,371-39280,799378.0,,Hoefs T-K (Wolfcamp),Pecos,N,N,0,0,Drilling surface hole and encountered heavy water flow from the Capitan Reef.
21,3,12/11/14,"Comstock Oil & Gas, LP",Kovar 'A',,051-33831,792615.0,1H,Giddings,Burleson,N,N,0,0,Evacuated homes in area and blocked off FM 1361. Gas was leaking from wellhead due to an open production casing valve just below ground level in the cellar.
22,4,11/29/14,AWP Operating Company,Marchbanks,,131-39489,789442.0,4,Tesoro Field,Duval,N,N,0,0,Pulling out pipe and well took a surge.
23,8,11/10/14,Shell Western E&P,Monroe 1-6 WRD,,475-36718,783527.0,3H,Phantom (Wolfcamp),Ward,N,N,0,0,"While on the fourth stage of fracking the 7"" casing parted approx. 10' below the frac tree and brought the tree and 7"" casing out of the hole, where it landed next to the well."
24,8,10/29/14,"Centennial Resource Prod., LLC",Sieber Trust,,389-34354,788330.0,3H,Wolfbone (Trend Area),Reeves,N,N,0,0,"While fracking communication developed between the 5-1/2"" production and 7"" intermediate casing. The wellhead seal failed and began leaking"
25,3,10/27/14,"EOG Resources, Inc.","Wales, Josey",,471-30372,787626.0,1H,"Fort Trinidad, East (Buda)",Walker,N,N,0,0,Well control issues during workover operations
26,1,08/28/14,Dewbre Petroleum Corp,Lawson-Ramsey,267310,17534146,,1,Cabeza Creek (1600),Zavala,N,N,0,0,During plugging and pulling joints the well began to blow dry gas.
27,1,08/30/14,EOG Resources,Guadalupe Unit,15916,17732620,,4H,Eagleville (Eagle Ford -1),Gonzales,N,N,0,0,Fluid started spilling out of the well when BOP did not shut properly.
28,1,07/18/14,CHESAPEAKE OPERATING,Peeler MCM H,,31136102,787517.0,3H,Eagleville (Eagle Ford -1),McMullen,N,N,0,0,Well began flowing brackish water. Killed well with mud.
29,3,06/27/14,Benchmark Oil & Gas Company,"Sunt Oil Company, Etal.",3232,361-30063,,13,Orange,Orange,N,N,0,0,Four families were evacuated from their homes. The well was blowing dry gas.
30,8,06/26/14,Kinder Morgan Production Co LLC,Goldsmith-Landreth/San Andres/UT,17491,135-06193,,249W,Goldsmith,Ector,N,Y,0,0,Injection well started releasing gas at the wellhead. Well was killed with mud.
31,8A,06/26/14,Occidental Permian LTD.,Anton-Irish Clearfork Unit,304,189-30333,,454,Anton-Irish,Lamb,N,N,0,0,After crew has rigged up they installed a BOP. When they came back in the morning the rubbers on the BOP had failed. They killed the well with mud.
32,4,06/04/14,"Chesnut Oil & Gas, Inc.","Smith, Ora L.",112864,409-31773,,8,Midway (miocene) field,San Patricio,N,N,0,0,During State Funded Plugging operations well began flowing.
33,7C,05/30/14,"FIML Natural Resources, LLC",Pecan A,17854,235-35545,,1944C,Spraberry (Trend Area),Irion,N,N,1,0,Pulling tubing and BOP was closed. Removed BOP and the well began to blow.
34,2,05/27/14,Devon Energy Prod.,Kickendahl Unit 1,10625,123-32901,,4H,Eagleville (Eagle Ford - 2),De Witt,N,N,0,0,One family was evacuated from their home. Loss of surface casing integrity caused uncontrolled pressure in the cellar and release of a mix of crude oil and natural gas and produced water.
35,3,05/19/14,"EOG Resources, Inc.",Josey Wales,,471303371,780245.0,1H,Wildcat,Walker,N,N,0,0,Well began blowing rocks and gas during cementing job. Halliburton is the cement contractor
36,4,05/14/14,SM Energy Company,Briscoe G GU5 State (SA),,479-42679,788997.0,62H,Brisco Ranch (Eagleford),Webb,N,N,0,0,During hydraulic fracturing on the 19th of 25 stages fluid was observed flowing from the cellar at a rate of approx. 10-12 bbl per min.
37,7C,05/13/14,J.M. Cox Res.,Benendem/Spraberry Unit,5204,461-80750,,3105,Spraberry (Trend Area),Upton,Y,N,0,0,Well took a kick while pulling out of the holw. Gas reached the diesel engine and caused a runaway.
38,8,05/07/14,Anadarko E&P Onshore LLC,Wiggo 34-177,41553,475-35698,,1H,Phantom (Wolfcamp),Ward,N,N,0,0,Loss of well control during workover.
